date,ts_code,name,category,shares,cost_price,current_price,market_value,weight,profit_pct,cash,total_value
2015-06-26,511880.SH,银华日利,现金管理,9600,102.181,102.079,979959.04,98.19,-0.1,18080.06,998039.1
2015-09-25,511880.SH,银华日利,现金管理,2600,102.181,102.73,267097.59,26.69,0.54,3303.81,1000669.41
2015-09-25,601398.SH,工商银行,弱周期红利,20800,4.454,4.45,92560.0,9.25,-0.1,3303.81,1000669.41
2015-09-25,601988.SH,中国银行,弱周期红利,20100,3.834,3.83,76983.0,7.69,-0.1,3303.81,1000669.41
2015-09-25,000651.SZ,格力电器,消费成长红利,11200,16.106,16.09,180208.0,18.01,-0.1,3303.81,1000669.41
2015-09-25,600690.SH,海尔智家,消费成长红利,5300,9.439,9.43,49979.0,4.99,-0.1,3303.81,1000669.41
2015-09-25,601088.SH,中国神华,周期资源红利,3300,14.925,14.91,49203.0,4.92,-0.1,3303.81,1000669.41
2015-09-25,601939.SH,建设银行,弱周期红利,17500,5.295,5.29,92575.0,9.25,-0.1,3303.81,1000669.41
2015-09-25,601288.SH,农业银行,弱周期红利,44600,3.113,3.11,138706.0,13.86,-0.1,3303.81,1000669.41
2015-09-25,600011.SH,华能国际,周期资源红利,5800,8.639,8.63,50054.0,5.0,-0.1,3303.81,1000669.41
2015-12-25,511880.SH,银华日利,现金管理,3400,102.494,103.409,351588.94,31.64,0.89,16937.35,1111069.3
2015-12-25,601398.SH,工商银行,弱周期红利,28600,4.509,4.65,132990.0,11.97,3.13,16937.35,1111069.3
2015-12-25,601988.SH,中国银行,弱周期红利,13700,3.834,4.06,55622.0,5.01,5.9,16937.35,1111069.3
2015-12-25,000651.SZ,格力电器,消费成长红利,8800,16.106,23.0,202400.0,18.22,42.8,16937.35,1111069.3
2015-12-25,600690.SH,海尔智家,消费成长红利,5300,9.439,9.92,52576.0,4.73,5.09,16937.35,1111069.3
2015-12-25,601088.SH,中国神华,周期资源红利,3300,14.925,15.11,49863.0,4.49,1.24,16937.35,1111069.3
2015-12-25,601939.SH,建设银行,弱周期红利,17500,5.295,5.9,103250.0,9.29,11.42,16937.35,1111069.3
2015-12-25,601288.SH,农业银行,弱周期红利,44600,3.113,3.27,145842.0,13.13,5.04,16937.35,1111069.3
2016-03-25,511880.SH,银华日利,现金管理,2100,102.494,104.069,218544.03,21.34,1.54,3540.73,1024199.76
2016-03-25,601398.SH,工商银行,弱周期红利,28600,4.509,4.28,122408.0,11.95,-5.08,3540.73,1024199.76
2016-03-25,601988.SH,中国银行,弱周期红利,22100,3.655,3.36,74256.0,7.25,-8.07,3540.73,1024199.76
2016-03-25,000651.SZ,格力电器,消费成长红利,8800,16.106,19.22,169136.0,16.51,19.33,3540.73,1024199.76
2016-03-25,600690.SH,海尔智家,消费成长红利,5300,9.439,8.5,45050.0,4.4,-9.95,3540.73,1024199.76
2016-03-25,601088.SH,中国神华,周期资源红利,3300,14.925,14.0,46200.0,4.51,-6.2,3540.73,1024199.76
2016-03-25,601939.SH,建设银行,弱周期红利,23100,5.186,4.84,111804.0,10.92,-6.67,3540.73,1024199.76
2016-03-25,601288.SH,农业银行,弱周期红利,23600,3.113,3.16,74576.0,7.28,1.51,3540.73,1024199.76
2016-03-25,600011.SH,华能国际,周期资源红利,7800,7.788,7.78,60684.0,5.93,-0.1,3540.73,1024199.76
2016-03-25,600886.SH,国投电力,弱周期红利,5500,6.747,6.74,37070.0,3.62,-0.1,3540.73,1024199.76
2016-03-25,600027.SH,华电国际,周期资源红利,10900,5.596,5.59,60931.0,5.95,-0.1,3540.73,1024199.76
2016-06-24,511880.SH,银华日利,现金管理,1500,102.494,104.71,157065.1,15.37,2.16,5417.81,1022115.91
2016-06-24,601398.SH,工商银行,弱周期红利,18600,4.509,4.4,81840.0,8.01,-2.42,5417.81,1022115.91
2016-06-24,601988.SH,中国银行,弱周期红利,22100,3.655,3.16,69836.0,6.83,-13.54,5417.81,1022115.91
2016-06-24,000651.SZ,格力电器,消费成长红利,8800,16.106,19.22,169136.0,16.55,19.33,5417.81,1022115.91
2016-06-24,600690.SH,海尔智家,消费成长红利,5300,9.439,8.63,45739.0,4.47,-8.57,5417.81,1022115.91
2016-06-24,601088.SH,中国神华,周期资源红利,3300,14.925,13.7,45210.0,4.42,-8.21,5417.81,1022115.91
2016-06-24,601939.SH,建设银行,弱周期红利,23100,5.186,4.96,114576.0,11.21,-4.36,5417.81,1022115.91
2016-06-24,601288.SH,农业银行,弱周期红利,23600,3.113,3.17,74812.0,7.32,1.83,5417.81,1022115.91
2016-06-24,600011.SH,华能国际,周期资源红利,7800,7.788,7.31,57018.0,5.58,-6.13,5417.81,1022115.91
2016-06-24,600886.SH,国投电力,弱周期红利,5500,6.747,6.5,35750.0,3.5,-3.66,5417.81,1022115.91
2016-06-24,600027.SH,华电国际,周期资源红利,21400,5.291,4.97,106358.0,10.41,-6.07,5417.81,1022115.91
2016-06-24,000333.SZ,美的集团,消费成长红利,2600,22.853,22.83,59358.0,5.81,-0.1,5417.81,1022115.91
2016-09-30,511880.SH,银华日利,现金管理,2700,103.861,105.463,284750.39,25.55,1.54,18473.31,1114467.71
2016-09-30,601398.SH,工商银行,弱周期红利,18600,4.509,4.43,82398.0,7.39,-1.75,18473.31,1114467.71
2016-09-30,601988.SH,中国银行,弱周期红利,29400,3.585,3.37,99078.0,8.89,-6.0,18473.31,1114467.71
2016-09-30,000651.SZ,格力电器,消费成长红利,6100,16.106,22.22,135542.0,12.16,37.96,18473.31,1114467.71
2016-09-30,601939.SH,建设银行,弱周期红利,23100,5.186,5.18,119658.0,10.74,-0.12,18473.31,1114467.71
2016-09-30,601288.SH,农业银行,弱周期红利,31600,3.118,3.13,98908.0,8.87,0.38,18473.31,1114467.71
2016-09-30,600011.SH,华能国际,周期资源红利,19000,7.351,7.04,133760.0,12.0,-4.23,18473.31,1114467.71
2016-09-30,600886.SH,国投电力,弱周期红利,5500,6.747,6.54,35970.0,3.23,-3.06,18473.31,1114467.71
2016-09-30,600027.SH,华电国际,周期资源红利,21400,5.291,4.95,105930.0,9.5,-6.45,18473.31,1114467.71
2016-12-30,511880.SH,银华日利,现金管理,3000,104.091,106.054,318163.01,27.96,1.89,19830.69,1137724.7
2016-12-30,601398.SH,工商银行,弱周期红利,30900,4.471,4.41,136269.0,11.98,-1.37,19830.69,1137724.7
2016-12-30,601988.SH,中国银行,弱周期红利,19900,3.585,3.44,68456.0,6.02,-4.05,19830.69,1137724.7
2016-12-30,000651.SZ,格力电器,消费成长红利,6100,16.106,24.62,150182.0,13.2,52.86,19830.69,1137724.7
2016-12-30,601939.SH,建设银行,弱周期红利,12600,5.186,5.44,68544.0,6.02,4.9,19830.69,1137724.7
2016-12-30,601288.SH,农业银行,弱周期红利,44000,3.114,3.1,136400.0,11.99,-0.45,19830.69,1137724.7
2016-12-30,600011.SH,华能国际,周期资源红利,19000,7.351,7.05,133950.0,11.77,-4.1,19830.69,1137724.7
2016-12-30,600027.SH,华电国际,周期资源红利,21400,5.291,4.95,105930.0,9.31,-6.45,19830.69,1137724.7
2017-03-31,511880.SH,银华日利,现金管理,6500,105.642,106.865,694620.94,56.89,1.16,10917.45,1221022.39
2017-03-31,601398.SH,工商银行,弱周期红利,12700,4.471,4.84,61468.0,5.03,8.24,10917.45,1221022.39
2017-03-31,601988.SH,中国银行,弱周期红利,19900,3.585,3.7,73630.0,6.03,3.21,10917.45,1221022.39
2017-03-31,601939.SH,建设银行,弱周期红利,12600,5.186,5.94,74844.0,6.13,14.54,10917.45,1221022.39
2017-03-31,601288.SH,农业银行,弱周期红利,18400,3.114,3.34,61456.0,5.03,7.26,10917.45,1221022.39
2017-03-31,600011.SH,华能国际,周期资源红利,19000,7.351,7.17,136230.0,11.16,-2.46,10917.45,1221022.39
2017-03-31,600027.SH,华电国际,周期资源红利,21400,5.291,5.04,107856.0,8.83,-4.75,10917.45,1221022.39
2017-06-30,511880.SH,银华日利,现金管理,7400,105.92,107.821,797878.2,64.06,1.8,15761.91,1245450.12
2017-06-30,601398.SH,工商银行,弱周期红利,12700,4.471,5.25,66675.0,5.35,17.41,15761.91,1245450.12
2017-06-30,601988.SH,中国银行,弱周期红利,19900,3.585,3.7,73630.0,5.91,3.21,15761.91,1245450.12
2017-06-30,601939.SH,建设银行,弱周期红利,12600,5.186,6.15,77490.0,6.22,18.59,15761.91,1245450.12
2017-06-30,601288.SH,农业银行,弱周期红利,18400,3.114,3.52,64768.0,5.2,13.04,15761.91,1245450.12
2017-06-30,600027.SH,华电国际,周期资源红利,30900,5.151,4.83,149247.0,11.98,-6.23,15761.91,1245450.12
2017-09-29,511880.SH,银华日利,现金管理,8900,106.444,108.919,969378.16,75.37,2.33,10766.93,1286135.09
2017-09-29,601988.SH,中国银行,弱周期红利,19900,3.585,4.12,81988.0,6.37,14.92,10766.93,1286135.09
2017-09-29,601288.SH,农业银行,弱周期红利,18400,3.114,3.82,70288.0,5.47,22.67,10766.93,1286135.09
2017-09-29,600900.SH,长江电力,弱周期红利,10200,15.085,15.07,153714.0,11.95,-0.1,10766.93,1286135.09
2017-12-29,511880.SH,银华日利,现金管理,8900,106.444,109.902,978125.01,75.42,3.25,13694.33,1296986.34
2017-12-29,601988.SH,中国银行,弱周期红利,19900,3.585,3.97,79003.0,6.09,10.74,13694.33,1296986.34
2017-12-29,601288.SH,农业银行,弱周期红利,18400,3.114,3.83,70472.0,5.43,23.0,13694.33,1296986.34
2017-12-29,600011.SH,华能国际,周期资源红利,12600,6.176,6.17,77742.0,5.99,-0.1,13694.33,1296986.34
2017-12-29,600900.SH,长江电力,弱周期红利,5000,15.085,15.59,77950.0,6.01,3.35,13694.33,1296986.34
2018-03-30,511880.SH,银华日利,现金管理,9600,106.784,111.003,1065631.82,80.85,3.95,22139.01,1318021.83
2018-03-30,601988.SH,中国银行,弱周期红利,19900,3.585,3.93,78207.0,5.93,9.62,22139.01,1318021.83
2018-03-30,601288.SH,农业银行,弱周期红利,18400,3.114,3.91,71944.0,5.46,25.56,22139.01,1318021.83
2018-03-30,600900.SH,长江电力,弱周期红利,5000,15.085,16.02,80100.0,6.08,6.2,22139.01,1318021.83
2018-06-29,511880.SH,银华日利,现金管理,7800,106.784,112.052,874007.75,66.25,4.93,3577.17,1319299.91
2018-06-29,601398.SH,工商银行,弱周期红利,12300,5.325,5.32,65436.0,4.96,-0.1,3577.17,1319299.91
2018-06-29,601988.SH,中国银行,弱周期红利,19900,3.585,3.61,71839.0,5.45,0.7,3577.17,1319299.91
2018-06-29,601939.SH,建设银行,弱周期红利,10000,6.557,6.55,65500.0,4.96,-0.1,3577.17,1319299.91
2018-06-29,601288.SH,农业银行,弱周期红利,46000,3.312,3.44,158240.0,11.99,3.88,3577.17,1319299.91
2018-06-29,600900.SH,长江电力,弱周期红利,5000,15.085,16.14,80700.0,6.12,6.99,3577.17,1319299.91
2018-09-28,511880.SH,银华日利,现金管理,8700,107.439,113.001,983112.07,71.65,5.18,20803.61,1372067.68
2018-09-28,601398.SH,工商银行,弱周期红利,12300,5.325,5.77,70971.0,5.17,8.35,20803.61,1372067.68
2018-09-28,601988.SH,中国银行,弱周期红利,19900,3.585,3.72,74028.0,5.4,3.76,20803.61,1372067.68
2018-09-28,601939.SH,建设银行,弱周期红利,10000,6.557,7.24,72400.0,5.28,10.42,20803.61,1372067.68
2018-09-28,601288.SH,农业银行,弱周期红利,17700,3.312,3.89,68853.0,5.02,17.46,20803.61,1372067.68
2018-09-28,600900.SH,长江电力,弱周期红利,5000,15.085,16.38,81900.0,5.97,8.58,20803.61,1372067.68
2018-12-28,511880.SH,银华日利,现金管理,7000,107.439,113.707,795946.14,58.84,5.83,1171.23,1352773.37
2018-12-28,601398.SH,工商银行,弱周期红利,12300,5.325,5.29,65067.0,4.81,-0.66,1171.23,1352773.37
2018-12-28,601988.SH,中国银行,弱周期红利,19900,3.585,3.61,71839.0,5.31,0.7,1171.23,1352773.37
2018-12-28,000651.SZ,格力电器,消费成长红利,2200,35.726,35.69,78518.0,5.8,-0.1,1171.23,1352773.37
2018-12-28,601088.SH,中国神华,周期资源红利,3700,17.978,17.96,66452.0,4.91,-0.1,1171.23,1352773.37
2018-12-28,601939.SH,建设银行,弱周期红利,10000,6.557,6.37,63700.0,4.71,-2.85,1171.23,1352773.37
2018-12-28,601288.SH,农业银行,弱周期红利,17700,3.312,3.6,63720.0,4.71,8.71,1171.23,1352773.37
2018-12-28,600900.SH,长江电力,弱周期红利,5000,15.085,15.88,79400.0,5.87,5.27,1171.23,1352773.37
2018-12-28,601225.SH,陕西煤业,周期资源红利,9000,7.447,7.44,66960.0,4.95,-0.1,1171.23,1352773.37
2019-03-29,511880.SH,银华日利,现金管理,9100,109.092,114.485,1041809.03,73.23,4.94,17432.37,1422646.4
2019-03-29,601398.SH,工商银行,弱周期红利,12300,5.325,5.57,68511.0,4.82,4.59,17432.37,1422646.4
2019-03-29,601988.SH,中国银行,弱周期红利,19900,3.585,3.77,75023.0,5.27,5.16,17432.37,1422646.4
2019-03-29,601939.SH,建设银行,弱周期红利,10000,6.557,6.95,69500.0,4.89,6.0,17432.37,1422646.4
2019-03-29,601288.SH,农业银行,弱周期红利,17700,3.312,3.73,66021.0,4.64,12.63,17432.37,1422646.4
2019-03-29,600900.SH,长江电力,弱周期红利,5000,15.085,16.87,84350.0,5.93,11.83,17432.37,1422646.4
2019-06-28,511880.SH,银华日利,现金管理,10000,109.651,115.189,1151886.09,79.66,5.05,13625.49,1446042.58
2019-06-28,601398.SH,工商银行,弱周期红利,12300,5.325,5.89,72447.0,5.01,10.6,13625.49,1446042.58
2019-06-28,601988.SH,中国银行,弱周期红利,38600,3.662,3.74,144364.0,9.98,2.13,13625.49,1446042.58
2019-06-28,601288.SH,农业银行,弱周期红利,17700,3.312,3.6,63720.0,4.41,8.71,13625.49,1446042.58
2019-09-27,511880.SH,银华日利,现金管理,8500,109.651,115.847,984701.91,68.23,5.65,902.29,1443157.2
2019-09-27,601398.SH,工商银行,弱周期红利,12300,5.325,5.54,68142.0,4.72,4.03,902.29,1443157.2
2019-09-27,601988.SH,中国银行,弱周期红利,48100,3.65,3.6,173160.0,12.0,-1.38,902.29,1443157.2
2019-09-27,601939.SH,建设银行,弱周期红利,10200,7.077,7.07,72114.0,5.0,-0.1,902.29,1443157.2
2019-09-27,601288.SH,农业银行,弱周期红利,41300,3.416,3.49,144137.0,9.99,2.18,902.29,1443157.2
2019-12-27,511880.SH,银华日利,现金管理,7300,109.651,116.542,850758.79,57.94,6.29,3498.6,1468324.39
2019-12-27,601398.SH,工商银行,弱周期红利,12300,5.325,5.9,72570.0,4.94,10.79,3498.6,1468324.39
2019-12-27,601988.SH,中国银行,弱周期红利,39900,3.65,3.69,147231.0,10.03,1.08,3498.6,1468324.39
2019-12-27,601088.SH,中国神华,周期资源红利,4100,17.838,17.82,73062.0,4.98,-0.1,3498.6,1468324.39
2019-12-27,601939.SH,建设银行,弱周期红利,10200,7.077,7.25,73950.0,5.04,2.44,3498.6,1468324.39
2019-12-27,601288.SH,农业银行,弱周期红利,19700,3.416,3.73,73481.0,5.0,9.21,3498.6,1468324.39
2019-12-27,000408.SZ,藏格矿业,周期资源红利,12000,7.307,7.3,87600.0,5.97,-0.1,3498.6,1468324.39
2019-12-27,600566.SH,济川药业,消费成长红利,3700,23.313,23.29,86173.0,5.87,-0.1,3498.6,1468324.39
2020-03-27,511880.SH,银华日利,现金管理,4500,109.651,117.24,527578.51,37.39,6.92,11002.91,1411141.42
2020-03-27,601398.SH,工商银行,弱周期红利,24000,5.272,5.21,125040.0,8.86,-1.17,11002.91,1411141.42
2020-03-27,601988.SH,中国银行,弱周期红利,39900,3.65,3.52,140448.0,9.95,-3.57,11002.91,1411141.42
2020-03-27,601088.SH,中国神华,周期资源红利,4100,17.838,16.27,66707.0,4.73,-8.79,11002.91,1411141.42
2020-03-27,601939.SH,建设银行,弱周期红利,10200,7.077,6.47,65994.0,4.68,-8.58,11002.91,1411141.42
2020-03-27,601288.SH,农业银行,弱周期红利,44400,3.403,3.39,150516.0,10.67,-0.39,11002.91,1411141.42
2020-03-27,600900.SH,长江电力,弱周期红利,4400,16.927,16.91,74404.0,5.27,-0.1,11002.91,1411141.42
2020-03-27,000408.SZ,藏格矿业,周期资源红利,29400,6.389,5.75,169050.0,11.98,-10.0,11002.91,1411141.42
2020-03-27,600566.SH,济川药业,消费成长红利,3700,23.313,21.73,80401.0,5.7,-6.79,11002.91,1411141.42
2020-06-26,511880.SH,银华日利,现金管理,4300,109.651,117.695,506087.99,35.39,7.34,7899.0,1429992.99
2020-06-26,601398.SH,工商银行,弱周期红利,24000,5.272,5.22,125280.0,8.76,-0.98,7899.0,1429992.99
2020-06-26,601988.SH,中国银行,弱周期红利,39900,3.65,3.46,138054.0,9.65,-5.22,7899.0,1429992.99
2020-06-26,601088.SH,中国神华,周期资源红利,11600,15.806,14.68,170288.0,11.91,-7.12,7899.0,1429992.99
2020-06-26,601939.SH,建设银行,弱周期红利,20500,6.7,6.32,129560.0,9.06,-5.67,7899.0,1429992.99
2020-06-26,601288.SH,农业银行,弱周期红利,44400,3.403,3.37,149628.0,10.46,-0.98,7899.0,1429992.99
2020-06-26,000408.SZ,藏格矿业,周期资源红利,19800,6.389,5.8,114840.0,8.03,-9.22,7899.0,1429992.99
2020-06-26,600566.SH,济川药业,消费成长红利,3700,23.313,23.88,88356.0,6.18,2.43,7899.0,1429992.99
2020-09-25,511880.SH,银华日利,现金管理,3800,109.651,118.204,449173.86,30.61,7.8,10821.22,1467323.07
2020-09-25,601398.SH,工商银行,弱周期红利,24000,5.272,4.89,117360.0,8.0,-7.24,10821.22,1467323.07
2020-09-25,601988.SH,中国银行,弱周期红利,55100,3.524,3.19,175769.0,11.98,-9.49,10821.22,1467323.07
2020-09-25,601088.SH,中国神华,周期资源红利,11600,15.806,16.33,189428.0,12.91,3.32,10821.22,1467323.07
2020-09-25,601939.SH,建设银行,弱周期红利,20500,6.7,6.14,125870.0,8.58,-8.36,10821.22,1467323.07
2020-09-25,601288.SH,农业银行,弱周期红利,55800,3.352,3.15,175770.0,11.98,-6.03,10821.22,1467323.07
2020-09-25,000408.SZ,藏格矿业,周期资源红利,19800,6.389,7.16,141768.0,9.66,12.07,10821.22,1467323.07
2020-09-25,600566.SH,济川药业,消费成长红利,3700,23.313,21.99,81363.0,5.54,-5.68,10821.22,1467323.07
2020-12-25,511880.SH,银华日利,现金管理,2000,109.651,118.867,237734.51,15.83,8.41,3778.28,1501354.59
2020-12-25,601398.SH,工商银行,弱周期红利,24000,5.272,4.97,119280.0,7.94,-5.72,3778.28,1501354.59
