rb,nb,fixed,old,932366,hs300tr,div_tr,ex_off,ex_hs,ex_div
2016-06-13,2016-09-12,0.103466,0.1049786070960011,0.07599993071267952,0.08217538275735836,0.11029859763016936,0.027466069287320483,0.02129061724264164,-0.006832597630169357
2016-09-12,2016-12-12,0.12032,0.1216701916642623,0.05577372389038526,0.045669711324347606,0.05623479203570936,0.06454627610961473,0.07465028867565239,0.06408520796429064
2016-12-12,2017-03-13,0.036379,0.0373270930584678,0.061919696532452884,0.014422843198560686,0.03845492472094447,-0.025540696532452882,0.021956156801439315,-0.0020759247209444706
2017-03-13,2017-06-12,0.138356,0.1401968521090292,0.13789022276791685,0.037680545825039324,0.050579292023062106,0.0004657772320831588,0.10067545417496068,0.0877767079769379
2017-06-12,2017-09-11,0.043157,0.0333086600611557,0.03148558411160085,0.08721568351124298,0.0670790462277917,0.01167141588839915,-0.04405868351124298,-0.023922046227791705
2017-09-11,2017-12-11,0.088168,0.091160448301849,0.10193363910621533,0.06425010708033252,0.015063591962475975,-0.013765639106215338,0.023917892919667477,0.07310440803752402
2017-12-11,2018-03-12,0.020893,0.0209950696295711,0.04697053203157253,0.014462106992376933,0.03580520519726371,-0.026077532031572533,0.006430893007623065,-0.014912205197263714
2018-03-12,2018-06-11,-0.033324,-0.0333931433352678,-0.032496237334109,-0.07936770066426957,-0.07473542639602326,-0.0008277626658909978,0.04604370066426957,0.041411426396023264
2018-06-11,2018-09-17,-0.080045,-0.0703923297029485,-0.09120002606058619,-0.13840801262063784,-0.11539067141331039,0.011155026060586187,0.05836301262063784,0.03534567141331038
2018-09-17,2018-12-17,-0.001295,-0.0040109641226846,-0.03853084652466732,-0.013047782255415474,0.017132452818880095,0.03723584652466732,0.011752782255415475,-0.018427452818880096
2018-12-17,2019-03-11,0.155829,0.1054457867504023,0.10425017929264335,0.18025175887980227,0.1624333536161935,0.05157882070735664,-0.024422758879802275,-0.006604353616193492
2019-03-11,2019-06-17,-0.107899,-0.0363365861966456,-0.04657186948563785,-0.01346899973436444,-0.027637241661671585,-0.061327130514362144,-0.09443000026563556,-0.08026175833832841
2019-06-17,2019-09-16,0.045357,0.0436239892359319,0.02268091458348609,0.09930242670190514,0.032172420813046276,0.022676085416513912,-0.05394542670190514,0.013184579186953725
2019-09-16,2019-12-16,-0.01123,-0.011202825919334,-0.0015058817894929577,0.008064948928554028,-0.010381308198264105,-0.009724118210507043,-0.019294948928554028,-0.0008486918017358951
2019-12-16,2020-03-16,-0.097584,-0.0977697160100116,-0.10048356931137625,-0.06511257678012095,-0.06881898479786652,0.002899569311376249,-0.03247142321987906,-0.02876501520213348
2020-03-16,2020-06-15,-0.022892,-0.0202868590287321,0.019473869256056764,0.06790308466795825,0.008628307529032764,-0.04236586925605676,-0.09079508466795824,-0.03152030752903276
2020-06-15,2020-09-14,0.176026,0.1900270081227357,0.15614018295514875,0.19120184624478131,0.15101842370115848,0.019885817044851234,-0.015175846244781327,0.02500757629884151
2020-09-14,2020-12-14,0.04013,0.0339863750905903,0.052854568650256395,0.06256023884450879,0.04173919882471222,-0.012724568650256396,-0.022430238844508787,-0.0016091988247122213
2020-12-14,2021-03-15,0.089536,0.1087862625169964,0.07549212392198679,0.020433488272358913,0.038616106628626135,0.014043876078013218,0.06910251172764109,0.05091989337137387
2021-03-15,2021-06-14,-0.003519,-0.0032519297968628,0.06872669232006556,0.04177074648373269,0.07431382575572942,-0.07224569232006556,-0.04528974648373269,-0.07783282575572942
2021-06-14,2021-09-13,0.137904,0.1626312676325799,0.08625926561647912,-0.021766213452420025,0.16073602205878923,0.05164473438352088,0.15967021345242002,-0.02283202205878923
2021-09-13,2021-12-13,-0.056682,-0.0540409121726961,-0.07737327465948884,0.01954960066880429,-0.1114504570761572,0.02069127465948884,-0.0762316006688043,0.05476845707615719
2021-12-13,2022-03-14,-0.04981,-0.0526233965335933,-0.05015674179352303,-0.17881168902482103,-0.02106152187278454,0.00034674179352302964,0.12900168902482104,-0.02874847812721546
2022-03-14,2022-06-13,0.049647,0.0537171318547536,0.04548227923043191,0.008586451862494293,0.032600881112793356,0.004164720769568087,0.041060548137505704,0.01704611888720664
2022-06-13,2022-09-12,0.031095,0.0210826585587039,-0.01206088923404669,-0.008249930406026174,0.06200491213527015,0.04315588923404669,0.03934493040602617,-0.03090991213527015
2022-09-12,2022-12-12,0.004178,0.0058489624534793,-0.03325905575656374,-0.03709918601225848,-0.019311171068901456,0.03743705575656374,0.04127718601225848,0.023489171068901457
2022-12-12,2023-03-13,0.103117,0.0950190514824949,0.0467083737491254,0.015809653628064968,0.028168130001424707,0.0564086262508746,0.08730734637193503,0.0749488699985753
2023-03-13,2023-06-12,0.019316,0.023607069233216,0.012129321625491407,-0.03709557760708304,0.019258997223716712,0.007186678374508593,0.05641157760708304,5.700277628328809e-05
2023-06-12,2023-09-11,0.035342,0.0330606338203714,-0.013397119711978656,-0.0019590282460795194,0.014967316677558351,0.048739119711978654,0.03730102824607952,0.020374683322441647
2023-09-11,2023-12-11,-0.049661,-0.0537536422511996,-0.057351748343782316,-0.09106735566540636,-0.01648992203489008,0.007690748343782319,0.04140635566540636,-0.033171077965109916
2023-12-11,2024-03-11,0.19728,0.1728381600280567,0.20079414607441115,0.05066022785451296,0.08860592103464904,-0.0035141460744111397,0.14661977214548705,0.10867407896535097
2024-03-11,2024-06-17,0.037629,0.0498076503203336,0.035675432120150896,-0.007605649692570937,0.01093230238431353,0.0019535678798491066,0.04523464969257094,0.026696697615686472
2024-06-17,2024-09-16,-0.063595,-0.0632699728527505,-0.08553340117086672,-0.08923811482907229,-0.10832630803764698,0.02193840117086672,0.02564311482907229,0.04473130803764698
2024-09-16,2024-12-16,0.183024,0.1668976582084891,0.179901233538581,0.2373065211983012,0.17482170435831534,0.0031227664614189854,-0.05428252119830121,0.008202295641684648
2024-12-16,2025-03-17,-0.033754,-0.0306534005023509,-0.03788088020868163,0.02505454433967902,-0.012628858933436793,0.004126880208681634,-0.05880854433967902,-0.021125141066563206
2025-03-17,2025-06-16,0.018197,0.0272003740342484,0.01848890213559362,-0.024854918226003386,0.009251881950525176,-0.0002919021355936198,0.04305191822600339,0.008945118049474825
2025-06-16,2025-09-15,0.114931,0.1112158035930615,0.07506912662170628,0.1868328223954454,0.0397956121187788,0.03986187337829372,-0.0719018223954454,0.0751353878812212
2025-09-15,2025-12-15,0.032373,0.0298579819651738,0.025115879463209367,0.008403816165876377,-0.003155422986852896,0.007257120536790632,0.023969183834123622,0.035528422986852895
2025-12-15,2026-03-16,0.095013,0.0995168340592475,0.12616926577846255,0.029503462633981403,0.08698369820718854,-0.031156265778462547,0.0655095373660186,0.008029301792811458
2026-03-16,2026-06-04,-0.051726,-0.0526287694157965,-0.08292865810284045,0.05307191298314362,-0.03203706699489839,0.031202658102840446,-0.10479791298314362,-0.019688933005101612
